Parameter,mean,sd,5.5%,94.5%,rhat,ess_bulk
b0[1],5.8373913775,0.19782247894873284,5.526048899999999,6.1591487,1.001684776927467,1518.5693273327447
b0[2],1.6793713275,0.09337758488712686,1.5350323499999998,1.8296699500000004,0.9997491618826388,2232.5767846342205
b0[3],0.8282044155,0.08538755210639043,0.69014966,0.964534165,1.0011344959961848,2698.7641516700655
b0[4],0.33686486528025,0.09223949609328821,0.186839765,0.48217353,1.0008019901065268,2789.110103576113
b0[5],-4.19160151,0.7499117234394378,-5.466132150000001,-3.0887333999999993,1.000990759268691,3244.279346388506
b1,-3.9800803225,0.3285266925200227,-4.5263927,-3.4536553499999996,1.0022725372927503,2071.17566780465
cutpoints[1],-9.45418704,0.31005505503091857,-9.9550108,-8.96809845,1.0021705823079974,1443.806011594496
cutpoints[2],-6.7975093375,0.2501641099240849,-7.20793155,-6.408238,1.0019813155487056,1616.2716428465478
cutpoints[3],-5.324380595,0.23164779714844452,-5.706744650000001,-4.958754,1.0016106104483002,1711.660709673163
cutpoints[4],-4.243732145,0.22615600599566432,-4.61242415,-3.8862749499999993,1.0014192285130403,1807.0737372064962
delta[1],0.856134171,0.048348172221192,0.7736291299999999,0.9283381750000002,1.000338512076984,2797.224475374196
delta[2],0.04461053363,0.02848459054355133,0.009078081549999999,0.09735526250000003,0.9996718647701949,3323.038482607026
delta[3],0.03949029710025,0.0250555760251077,0.00848706315,0.0863548975,1.0013162116527183,3984.443046523255
delta[4],0.059765009263,0.037959254842843376,0.012857681499999999,0.12990884000000003,1.000685888665755,3117.425489915827
