variable,mean,sd,5.5%,95.5%
b0[1],5.438412975,0.11985779219198332,5.24953315,5.64176225
b0[2],1.4498965575,0.072038812827271,1.3362592,1.5721445
b0[3],0.732310895,0.07412479935624026,0.614065095,0.8573518399999999
b0[4],0.284136208405,0.08150366164310927,0.15244938500000002,0.422223835
b0[5],-3.619955755,0.5118289438967208,-4.44602145,-2.8144496500000002
b1,-3.66152513,0.21752877087967745,-4.007417599999999,-3.2981791500000006
b2,-0.39611675225,0.07231205958743545,-0.5111884,-0.27472810000000003
cutpoints[1],-8.65782671,0.19062464032884371,-8.96184365,-8.336865999999999
cutpoints[2],-6.35015925,0.16012407272066767,-6.605354999999999,-6.082024800000001
cutpoints[3],-4.9656990725,0.14857964113398786,-5.2008487,-4.71386895
cutpoints[4],-3.9334460925,0.14315737886199614,-4.157278249999999,-3.69473345
delta[1],0.90437773925,0.03405728645201168,0.8454552,0.9553302149999999
delta[2],0.02668321696925,0.017964326846813046,0.0054995892,0.062731071
delta[3],0.0286252496645,0.01917446609698249,0.005247367249999999,0.06724442449999996
delta[4],0.04031379359475,0.026105801876790707,0.008371216700000001,0.092206397
