variable,mean,sd,5.5%,95.5%
b0[1],3.128415385,0.06252707178397406,3.02981725,3.23484035
b0[2],0.84507161575,0.0416259589854452,0.778263665,0.9153990049999997
b0[3],0.41327488,0.04658841288391203,0.33900171,0.49489433
b0[4],0.141749562603075,0.055956713239491467,0.051838124,0.23645370499999993
b0[5],-2.69514198,0.4658649631239682,-3.4834639,-1.965478950000001
b1,-2.0225272275,0.1415290532105119,-2.2533007,-1.7943874000000002
cutpoints[1],-4.81776691,0.0932859540939026,-4.969062549999999,-4.66110325
cutpoints[2],-3.5012088175,0.07848821038550359,-3.6298422,-3.3734601000000004
cutpoints[3],-2.70139211,0.0738329147347066,-2.82374055,-2.5776092000000004
cutpoints[4],-2.1040060325,0.07066759811214528,-2.21934605,-1.9856264
delta[1],0.87605262325,0.04547855734853443,0.79740589,0.9442745650000001
delta[2],0.028372057233,0.01917730225412475,0.0058878772,0.06795261949999995
delta[3],0.035633592803,0.02338571349765493,0.00717270445,0.08367305149999997
delta[4],0.05994172498925,0.038688994109396455,0.012155148000000001,0.13766746999999993
