variable,mean,sd,5.5%,95.5%
b0[1],3.1489421375,0.06316239481753257,3.0476089,3.25744495
b0[2],0.836589732,0.04054122961412039,0.772755355,0.9057178199999999
b0[3],0.4245129605,0.04546473033334203,0.35063945999999996,0.499033
b0[4],0.1582501535025,0.05409580047205044,0.070853291,0.250379945
b0[5],-2.6789971275,0.4638285072547388,-3.4643306000000003,-1.9487120000000002
b1,-2.153197585,0.14501683783040975,-2.3869115499999998,-1.9196273
b2,-0.266583968,0.0432036543312006,-0.33453965999999996,-0.19325365000000005
cutpoints[1],-5.0094911425,0.09979661563621688,-5.175556950000001,-4.8406346
cutpoints[2],-3.6866733225,0.08574827406316815,-3.8267622,-3.5418091
cutpoints[3],-2.8802215475,0.07987351307819825,-3.013191,-2.7462796500000004
cutpoints[4],-2.275931205,0.07773022607138906,-2.40263045,-2.14724685
delta[1],0.879444392,0.04334092713132688,0.8041857,0.9432370499999999
delta[2],0.026978994913,0.01787762861686789,0.0054912382,0.0635666195
delta[3],0.03483865686225,0.022710942564846775,0.007058440849999999,0.08034322599999999
delta[4],0.05873795909875,0.037348059686354025,0.011710324000000001,0.134021
