variable,mean,sd,5.5%,95.5%
b0[1],6.2487662,0.20588913608723916,5.9285814000000006,6.59172925
b0[2],1.6927416875,0.1101262929185185,1.5185779,1.8774799
b0[3],0.779417052,0.10300612699838829,0.617534885,0.9571909149999999
b0[4],0.4620608874425,0.1395159011980828,0.24188221499999998,0.7058170149999998
b0[5],-2.48397373875,0.8409666213160555,-3.93862575,-1.1930106500000002
b1,-4.9865946725,0.49130910999709165,-5.8231739000000005,-4.2035157000000005
b2[1],4.8940769325,0.4527271606871753,4.18633,5.681387599999998
b2[2],0.971641382875,0.44953265116713687,0.26186843499999995,1.7377069999999997
b2[3],0.65619952535575,0.3870331013887205,0.039570038499999995,1.3209946499999996
b2[4],1.0858062342250001,0.3925972438309184,0.45721382,1.7747342999999998
b2[5],4.6826344025,1.4607398642397755,2.6206485500000003,7.469678299999997
cutpoints[1],-9.6753290875,0.31275087693250014,-10.174222,-9.1422447
cutpoints[2],-6.87343906,0.2508856228234318,-7.27578565,-6.4450646
cutpoints[3],-5.3397394575,0.2300938589648016,-5.70286345,-4.951418050000001
cutpoints[4],-4.1969321475,0.22082359016567196,-4.544554400000001,-3.8198119
delta[1],0.793928369,0.06785206216083789,0.6789705349999999,0.9039854100000001
delta[2],0.04675507298125,0.0297923166388873,0.0099294,0.10575497999999998
delta[3],0.0621548162035,0.03841675793068456,0.0130286565,0.13677330499999993
delta[4],0.09716174386,0.05826407776267355,0.0205755795,0.20926504999999995
