Model,WAIC_logit,WAIC_probit,PSIS_logit,PSIS_probit,Weight
Model 2.4.2,3702.8999532792036,3737.6985497303854,3702.9321456904577,3737.7369378862345,1
Model 2.4.1,3791.8557265226314,3819.1001937915294,3791.8872303571825,3819.1411671325914,4.825021728838542e-20
Model 2.4,3847.0602888258027,3875.855579650899,3847.082789886946,3875.9019502780884,4.965704608381051e-32
Model 2.3,4744.29836506542,4760.356232042134,4744.312696698893,4760.388083451036,7.298072093839665e-227
Model 2.7,5322.2664264401055,5357.346700620685,5322.281753535593,5357.368270990203,0
Model 2.5,5566.167040672717,5613.329569837152,5566.182234420534,5613.3450734129665,0
Model 2.6,5747.665870985965,5812.612506515002,5747.682249279894,5812.633870263128,0
Model 2.2,5896.059085772612,5933.814069450768,5896.0744907309245,5933.830178616676,0
Model 2.1,6834.670078028016,6870.178506527934,6834.68027950469,6870.192676656037,0
