variable,mean,sd,5.5%,95.5%
b0[1],3.2492625575,0.09679575409431379,3.09560615,3.4138476499999997
b0[2],0.9545949525,0.05168441979839009,0.872500645,1.0443885499999999
b0[3],0.47748596125,0.051050191176723755,0.3949079,0.5623622799999999
b0[4],0.1934442255825,0.05892529787347836,0.10007762,0.29423523999999995
b0[5],-2.92440497,0.6478354104353996,-4.0818353,-1.9686956
b1,-2.1745044875,0.19006586218987312,-2.4968598999999996,-1.8671054500000004
cutpoints[1],-5.261180235,0.14969452758832652,-5.4984693,-5.01006615
cutpoints[2],-3.7871533725,0.12411328729218263,-3.9899811,-3.5790670500000004
cutpoints[3],-2.9482817925,0.11648485686208954,-3.13945815,-2.7547969500000002
cutpoints[4],-2.3180777625,0.11178259364891885,-2.4996222,-2.1296328
delta[1],0.838730895,0.055040172892738,0.74455845,0.9246603849999999
delta[2],0.04147216670725,0.02669142126804642,0.00828985015,0.09518947799999998
delta[3],0.04371784617175,0.02802761271468081,0.0088035229,0.09971861299999989
delta[4],0.076079090995,0.047174091056946296,0.0155327515,0.16865047499999997
