variable,mean,sd,5.5%,95.5%
b0,2.206700375,0.07525487415330871,2.08617065,2.3306525999999996
b1,13.0091511,0.8837614104080477,11.674557,14.545554000000001
cutpoints[1],-4.016842725,0.1414793018297586,-4.24050495,-3.7766767000000003
cutpoints[2],-2.387240625,0.12235378983477017,-2.5830753,-2.1783200999999996
cutpoints[3],-1.227088448,0.1135735905427203,-1.4075174999999998,-1.03722
cutpoints[4],-0.236951458499525,0.11059739621789721,-0.415735115,-0.049035180000000095
delta[1],0.15091751575,0.012811465651391574,0.130891855,0.17276331499999997
delta[2],0.0950340179,0.014464839986259841,0.072723194,0.12081131499999999
delta[3],0.089298789075,0.018090678908541994,0.061759876,0.12101002499999991
delta[4],0.66474967075,0.025504402184466923,0.62304789,0.7066629600000001
