variable,mean,sd,5.5%,95.5%
b0[1],3.311118815,0.10081481853405673,3.14845085,3.4813718000000002
b0[2],0.9014823185,0.05732072363450721,0.807894415,0.9985520849999999
b0[3],0.4695904015,0.06553483266498362,0.365549295,0.5832172249999998
b0[4],0.3163681119975,0.0914496532251584,0.17237751,0.4712614199999998
b0[5],-0.66622974018375,0.8754980013065361,-2.2566322,0.5981400199999998
b1,-3.3314557325,0.48945436224518796,-4.21990025,-2.6740761500000003
b2[1],0.11779728985,0.01932999180122785,0.08699331800000001,0.15097584999999994
b2[2],0.2210003941325,0.08840353562417153,0.0828553555,0.36881127499999994
b2[3],0.2202801869155,0.132518973538345,0.0092386497,0.44736048500000003
b2[4],0.4769903389975,0.1594910439238427,0.22742461,0.75242144
b2[5],3.72614556875,1.5994461079966533,1.5133555,6.838180149999998
cutpoints[1],-5.62758972,0.16889211179545444,-5.90376385,-5.3426284
cutpoints[2],-4.1417364675,0.14399299981507915,-4.3770716499999995,-3.9000466000000005
cutpoints[3],-3.28798147,0.13527798962657767,-3.50648055,-3.0607891
cutpoints[4],-2.6390795425,0.1311181566401689,-2.84830895,-2.4163219
delta[1],0.709173142,0.09134810288677642,0.5505415349999999,0.852706295
delta[2],0.0489875153545,0.030121911740776604,0.0104128115,0.11061269999999998
delta[3],0.07758941757275,0.04596786391421295,0.017036661499999998,0.16735234499999987
delta[4],0.1642499176475,0.09400980469222954,0.0398775815,0.34828326499999984
