Parameter,mean,sd,5.5%,94.5%,rhat,ess_bulk
b0,5.00928608,0.38336890857892986,4.3998968,5.61759255,1.0010899176009158,1789.6031385540994
cutpoints[1],-7.36775262,0.5784297308956652,-8.29475525,-6.4199806499999985,1.0013807330012312,1739.4094794000048
cutpoints[2],-5.672186105,0.490376756563128,-6.46974735,-4.890853999999999,1.000707311669536,1929.465709724422
cutpoints[3],-4.47047457,0.44946363882211976,-5.192582750000001,-3.74684515,1.00026990625694,2151.791566638826
cutpoints[4],-3.2935501125,0.411199141550679,-3.9407778,-2.63453935,1.0008462455465474,2459.3832536458044
