Parameter,mean,sd,5.5%,94.5%,rhat,ess_bulk
b0,5.031650015,0.3789016135313809,4.4451868,5.648661349999999,1.0033528855039893,1669.0549526463553
cutpoints[1],-7.4014744725,0.5649394214051947,-8.30081225,-6.51168735,1.0035010187750226,1520.3211972649156
cutpoints[2],-5.6963609075,0.48632783774439925,-6.4647991000000005,-4.933514299999999,1.0029380204363119,1789.3911299205745
cutpoints[3],-4.488539295,0.4440617780206125,-5.19647055,-3.80734525,1.0037923515590619,1840.400472264494
cutpoints[4],-3.3115855775,0.4201857127964087,-4.01534675,-2.6611145,1.0019396396284794,2380.540094537164
