Model,WAIC_logit,WAIC_probit,PSIS_logit,PSIS_probit,Weight
Model 2.4,3702.6921227281528,3737.775444578044,3702.725300275823,3737.810619137624,1
Model 2.3,3792.485031721456,3818.8262280347403,3792.5163456077184,3818.8606606827184,2.512152475337115e-18
Model 2.2,3702.6921227281528,3875.640805191413,3702.725300275823,3875.6847963107507,1.1558921651266708e-30
Model 2.1,4744.251542301899,4760.222029650059,4744.270242209174,4760.251413869521,9.517985332446082e-223
Model 2.7,5322.136813257986,5357.686709693494,5322.1510901660995,5357.708834121863,0
Model 2.5,5566.33144271812,5613.352194115986,5566.345486536925,5613.363748738676,0
Model 2.6,5747.6447349765285,5812.74763667837,5747.660335299772,5812.764451426097,0
Model 1.2,5896.127545325981,5933.879367179522,5896.141772932244,5933.899736210392,0
Model 1.1,6834.758690332577,6869.948210009226,6834.770773400446,6869.963121737476,0
