variable,mean,sd,5.5%,95.5%
b0,1.211754865,0.03626488253473448,1.1547889,1.27367
b1,8.10059961,0.7768022813429895,6.995358749999999,9.503888349999999
cutpoints[1],-2.2320877325,0.0731116418532443,-2.3483288,-2.10952055
cutpoints[2],-1.2800516825,0.06486253796146042,-1.3832894999999998,-1.1692974000000003
cutpoints[3],-0.602625387,0.060836458832237615,-0.69878353,-0.4981742
cutpoints[4],-0.03938742463189875,0.05831705283242837,-0.13103905500000002,0.058950018999999985
delta[1],0.145605963025,0.015324356743133887,0.12121167000000001,0.17116999
delta[2],0.09296951075,0.014507101040304634,0.0704357495,0.118976225
delta[3],0.079786838475,0.01695312269198818,0.053150427,0.10996018
delta[4],0.68163769,0.03174547633505969,0.629839005,0.7351536
