"","WAIC","SE","dWAIC","dSE","pWAIC","weight"
"model_2.4gq",3702.67288761954,82.2974303349762,0,NA,11.6691462742022,1
"model_2.3gq",3792.57299065242,81.5092064343373,89.9001030328741,24.5402366812587,11.8953961756548,3.00912802302345e-20
"model_2.2gq",3846.7881209401,82.1946765211725,144.115233320557,28.9239421520047,8.19392446488169,5.07895898069736e-32
"model_2.1gq",4744.31876943171,85.3043161935689,1041.64588181216,66.2311911889639,9.57613345729677,6.44867835472123e-227
"model_2.7gq",5322.04255773779,88.5936765670399,1619.36967011825,77.4736435055346,7.10743309161795,0
"model_2.5gq",5565.96500329065,85.5860441166169,1863.29211567111,77.1746548240104,6.87184108581352,0
"model_2.6gq",5747.67039966173,90.5094137447926,2044.99751204219,82.0018052897631,7.82326848177724,0
"model_1.2gq",5896.10350699569,86.0311468987295,2193.43061937614,79.8444747572243,7.42637006202456,0
"model_1.1gq",6834.87834928132,71.2169431175769,3132.20546166177,81.5392095718517,5.85838869393572,0
