Parameter,PSIS,SE,dPSIS,dSE,pPSIS,weight
model_3.3gq,7378.664477053013,118.69082668853511,0,NA,12.138718278592528,1
model_3.2gq,7515.182795562923,118.5801457868149,136.5183185099104,28.275209728452612,8.921848713949284,2.2668552869126094e-30
model_3.1gq,7550.779836792558,119.16564984928979,172.11535973954506,32.234323857881456,7.767974012994873,4.223033311364003e-38
