variable,mean,sd,5.5%,95.5%
b0[1],5.9018055425,0.19442273228268026,5.59630415,6.2330808499999995
b0[2],1.594183,0.10260645802193423,1.4302178999999997,1.7687493499999998
b0[3],0.78550141775,0.10217807429052313,0.62514121,0.9605889
b0[4],0.4835129249725,0.14387290690391819,0.25759841,0.7303971049999999
b0[5],-0.87879763156925,0.9777856860105234,-2.58039235,0.5481271149999999
b1,-5.5600680925,0.6228384662781397,-6.6224735,-4.6641793
b2[1],0.1991538648,0.03579672321578189,0.14062001,0.26110443499999997
b2[2],0.3836693445,0.14730905644353184,0.142809235,0.637344395
b2[3],0.2766895652855,0.2172636834554137,-0.0676397135,0.6559635099999997
b2[4],0.6513538566675,0.24882840021001426,0.261187355,1.0789333499999993
b2[5],4.5838433555,1.5111699127803015,2.4165339500000003,7.371241099999995
cutpoints[1],-10.0329887925,0.3230787653543988,-10.5502935,-9.4897956
cutpoints[2],-7.359417625,0.2667802643563086,-7.7908371999999995,-6.916784700000001
cutpoints[3],-5.8685649425,0.24839310623727714,-6.26403155,-5.452797299999999
cutpoints[4],-4.7603535525,0.2399519582935863,-5.1526821,-4.365964500000001
delta[1],0.76384781025,0.0758449007409618,0.6348536749999999,0.88558995
delta[2],0.05221687054325,0.0312775133688847,0.01105893,0.11191536
delta[3],0.0681917613575,0.04263129619722006,0.013569877999999999,0.152788665
delta[4],0.1157435531125,0.0705284104242661,0.023226430000000003,0.257297585
