parameter,Max. Lik.,Model p1b,Model p2b,Model pb
σ,0.3339219573521089,0.3240100728219038,0.32393001928267134,0.38083809216632775
μ2,0.23238350964406101,0.23229046307591872,0.2323545195108453,0.2327561124959818
μ3,0.3261520512478495,0.3246556649403474,0.3247078685331027,0.3334312828170904
μ4,0.4131613751196864,0.4102123136770473,0.41083618537884037,0.4295766453138596
μ5,0.517798256585115,0.5143196101872121,0.5152872564079892,0.547339311756753
