Parameter,mean,sd,5.5%,94.5%,rhat,ess_bulk
b0[1],5.84710818,0.19872747708904057,5.52722005,6.160271999999999,1.0007968359131032,1777.9530656353988
b0[2],1.6815890225,0.09289827502728593,1.5313766999999998,1.83413815,1.001116125894263,2674.1381599699216
b0[3],0.83134121925,0.08339980695044817,0.697501865,0.9658594650000004,0.9999294722833924,2556.234551757818
b0[4],0.342662143525,0.09178034385229172,0.197094605,0.48655851500000014,1.0005044890296564,2860.7570513079254
b0[5],-4.204189695,0.7908041618871714,-5.59017235,-3.0675472999999998,0.9999050588545627,2762.808176556215
b1,-3.9871642125,0.3175737975955505,-4.50593665,-3.4891336499999994,1.0012287433369387,1739.4789835022252
cutpoints[1],-9.4723669775,0.3087701161543924,-9.96299255,-8.981443950000001,1.0011993275274522,1664.4548722967093
cutpoints[2],-6.809837335,0.25050224162442636,-7.20371755,-6.4031101,1.0013087221363839,1907.704711074253
cutpoints[3],-5.33624031,0.2296131519618211,-5.6985241,-4.969757899999999,1.0011582725664934,1959.8579711757395
cutpoints[4],-4.254445305,0.22024537400987598,-4.60178895,-3.90546175,1.0007439794002368,2068.465817212366
delta[1],0.85688158975,0.048934302100300316,0.773307555,0.929000905,1.0012303508273175,2671.860383715854
delta[2],0.043704073481,0.02763303770149537,0.00908494805,0.0952473805,1.000151962901965,3284.611706281205
delta[3],0.03851148688425,0.02554923419942233,0.007270879349999999,0.0842492765,0.99987597467627,3578.8207682762
delta[4],0.06090285222925,0.037675005662377525,0.013247174999999998,0.12877597000000002,1.0003365448756791,2636.2150785765452
