Model,WAIC_logit,WAIC_probit,PSIS_logit,PSIS_probit,Weight
Model 3.3,7395.272459897247,7412.389670314227,7395.300874599748,7412.422120341373,1
Model 3.2,7526.78698430072,7542.988871722175,7526.805045258172,7543.0122376375375,4.372640206210963e-29
Model 3.1,7561.2332996708765,7584.078829396356,7561.24899911284,7584.100801390785,5.226040896802785e-38
