parameter,Max. Lik.,Model 1.1b,Model 1.2b,Model 1.3b
b0,2.99471172225292,3.0863238025,3.0870865325,2.6257877575
κ1,-4.370381106038592,-4.505312695,-4.505574925,-3.82777913
κ2,-3.3552498325257423,-3.47208388,-3.47244559,-2.8839512275
κ3,-2.647076671927204,-2.750162695,-2.7461509175,-2.21867276
κ4,-1.971028152371961,-2.052128785,-2.0468333125,-1.58252645225
