Parameter,mean,sd,5.5%,94.5%,rhat,ess_bulk
b0[1],5.9280427025,0.13187202148630398,5.720363949999999,6.14050155,0.9999565811317237,3130.0457356632674
b0[2],1.434499835,0.08160747095549349,1.3052861500000001,1.5668444000000001,1.0012965925332624,4876.199330838039
b0[3],0.71323934125,0.09092480893204358,0.569326765,0.8605204200000001,1.001945555231075,4696.445763838193
b0[4],0.3989092210625,0.1301688475134955,0.19724277499999998,0.61124272,1.0006955601032814,4260.70215913565
b0[5],-2.76954346325,0.8546615949493421,-4.2618054,-1.5435879499999992,1.000300308261432,4410.539878756916
b1,-4.7942045475,0.4250906599020134,-5.5420319,-4.20050995,1.003335874787987,3069.4409516617907
b2,-0.093981036488575,0.08336366975452292,-0.226511115,0.04151009650000006,1.0006339393453063,5141.520408847723
b3[1],4.773331925,0.4255271953532943,4.08894625,5.438094,0.9999867704108839,5671.144017769302
b3[2],0.71808286636575,0.30878798351346115,0.24025047499999996,1.2211154999999998,1.0007233925272239,4820.034515489568
b3[3],0.684121873645,0.3145871034168096,0.182205035,1.1769294500000005,1.0026154667844978,4678.160209900462
b3[4],0.99712261909425,0.3484438227867006,0.45749066,1.5581819000000001,1.000346833478234,3738.6323518343875
b3[5],7.2671688075,2.689601345128462,3.3664011,12.030133,1.0005820609535012,4638.825646723814
cutpoints[1],-9.006741495,0.20557710128661785,-9.3391705,-8.672769549999998,1.00019949267667,2995.37213900276
cutpoints[2],-6.5697482575,0.1709560635605117,-6.8445822,-6.295003950000001,1.0004890572701137,3383.6583150402266
cutpoints[3],-5.118669315,0.1581959080046261,-5.3736121,-4.857612400000001,1.0003594578429746,3563.4502947053793
cutpoints[4],-4.02799704,0.1519118631668742,-4.26643715,-3.78330645,1.000443183147833,3801.994321995262
delta[1],0.8257606545,0.06173702565677963,0.717205765,0.915230375,1.0014908632742128,3414.6421608363926
delta[2],0.03089991111615,0.02044250625247166,0.006620842499999999,0.06896234400000001,1.0006623710887086,5847.711951104001
delta[3],0.0496007451265,0.031028267261373855,0.010511450999999998,0.10636166000000001,1.000484253624411,5930.7538799454605
delta[4],0.09373868178525,0.05787701135719069,0.019554595499999997,0.19965794000000003,1.0026045379249,3140.420927470425
