Parameter,WAIC,SE,dWAIC,dSE,pWAIC,weight
model_3.3gq,7379.170629397303,118.61517364382775,0,NA,12.443595395522427,1
model_3.2gq,7514.7458209133365,118.5797376981603,135.57519151603356,28.204302875760693,8.667606454544762,3.632630464823705e-30
model_3.1gq,7550.4011949602045,119.04372089899162,171.23056556290157,32.14439520265466,7.575800491838945,6.572871190453984e-38
