variable,mean,sd,5.5%,95.5%
b0[1],5.90151265,0.19672081886742812,5.58049845,6.24289935
b0[2],1.59021449,0.10186762767156089,1.43090425,1.7606494499999998
b0[3],0.78299288875,0.10158252649227874,0.62320879,0.9538329499999997
b0[4],0.4790291350425,0.14462001846854847,0.245509555,0.7208459299999999
b0[5],-0.8916072955035,0.9548447007497846,-2.53833665,0.5334201399999997
b1,-5.5823129175,0.6116571812675072,-6.6496222,-4.666497700000001
b2[1],0.19846977665,0.03584364124167633,0.14160448499999997,0.25900798499999994
b2[2],0.3866871229775,0.1527463764440894,0.145356725,0.6417423099999998
b2[3],0.2818049445425,0.2166316283348504,-0.064549708,0.6568189899999999
b2[4],0.6507903360275,0.24741443583545042,0.26164042,1.0775185499999997
b2[5],4.5575607025,1.5362470672839106,2.4025161500000003,7.492790399999999
cutpoints[1],-10.0289541,0.32505698459323745,-10.5625055,-9.493988199999999
cutpoints[2],-7.3569403625,0.26932459680273235,-7.79487805,-6.9017047
cutpoints[3],-5.8688576925,0.25032963805834707,-6.2642565,-5.446233250000001
cutpoints[4],-4.7619115925,0.2423134258217491,-5.15183365,-4.35666055
delta[1],0.7617626705,0.07320407845972596,0.637461145,0.87795159
delta[2],0.0529520964325,0.03156313570642423,0.011895917499999999,0.11586970999999999
delta[3],0.0679089427345,0.03957935002266107,0.016247967,0.14535737499999998
delta[4],0.117376299565,0.06989765242662921,0.026526731499999998,0.25788903999999996
