variable,mean,sd,5.5%,95.5%
b0[1],5.56751381,0.12838332221530824,5.364736549999999,5.788448099999999
b0[2],1.4232892275,0.07858558943880936,1.2999789,1.5563249499999998
b0[3],0.71270336525,0.09098157035687224,0.5674893750000001,0.8703640649999999
b0[4],0.384528653997,0.12762265186793323,0.184376765,0.5984617649999999
b0[5],-2.7984980125,0.5696602993315696,-3.7453224499999997,-1.8831103500000006
b1,-3.9306938075,0.258521301023917,-4.3577014499999995,-3.50784605
b2,-0.1116363046654875,0.08217904004125486,-0.24224879500000002,0.027247754999999995
b3[1],4.00986494,0.37467486852846577,3.40431615,4.6392412499999995
b3[2],0.512341137648,0.2967778568344411,0.03382623,1.0204479999999998
b3[3],0.47786623883775,0.2999899438242836,0.002301940249999996,1.0017256499999998
b3[4],0.70755922097075,0.3132901277757101,0.20580989,1.2511221499999998
b3[5],2.23318023725,0.6390080113378411,1.2486719999999998,3.3752259999999996
cutpoints[1],-8.5140493625,0.20256033225886008,-8.842852100000002,-8.17721
cutpoints[2],-6.1695179925,0.16831743571370214,-6.440926849999999,-5.885061
cutpoints[3],-4.7600917125,0.1548147901335766,-5.0083721500000005,-4.4980882
cutpoints[4],-3.7006608875,0.14839503513848024,-3.94313825,-3.4539109500000005
delta[1],0.8816636105,0.04209168526060473,0.8081755350000001,0.9455430699999999
delta[2],0.030353114514075,0.02062615158557514,0.00555594205,0.07064475749999993
delta[3],0.03783187829225,0.02491463814271529,0.0078275946,0.0890788414999999
delta[4],0.05015138936,0.0321299466892618,0.0103091685,0.11522390499999996
