Parameter,mean,sd,5.5%,94.5%,rhat,ess_bulk
b0[1],5.750338055,0.12622029931970952,5.54895175,5.94857495,1.0010688841156063,1980.2402393940183
b0[2],1.470811015,0.0732263575232908,1.3558689,1.5903933,1.0019353142103447,2452.854745684731
b0[3],0.732446667,0.07470846770316099,0.61436541,0.8520113100000001,1.001029882573562,2557.164261113173
b0[4],0.26882818407975,0.08535917647111264,0.13413717999999997,0.40357886500000006,1.000515248258973,2904.674018734434
b0[5],-4.47853512,0.7771009667401738,-5.792342250000001,-3.347648949999999,0.9998728526566159,3383.3400620273737
b1,-4.1502167025,0.25335981561465815,-4.58420975,-3.77141945,1.0016075112360603,2035.9433798638277
b2,-0.44403276375,0.07365918427767204,-0.56186863,-0.32414165499999986,1.0023935720510495,4099.726789850122
cutpoints[1],-9.15288508,0.19755501955450636,-9.458522199999999,-8.8348156,1.0007880983316797,1814.4670872195138
cutpoints[2],-6.766541825,0.1648724466870936,-7.0217538500000005,-6.49566295,1.0012269509389868,2031.615877936184
cutpoints[3],-5.3467102,0.1513801922706963,-5.5823866,-5.099206399999999,1.000174762036074,2185.301628409646
cutpoints[4],-4.2909231075,0.14644164670813795,-4.521550550000001,-4.05028945,1.0001607668725903,2351.1634228570642
delta[1],0.89023666625,0.04006035626170609,0.8182779,0.9463062099999999,0.9993360681464583,2842.8738992182184
delta[2],0.02608603384275,0.01694931111579977,0.005269871949999999,0.056810155,1.0003057089319995,3935.401166773556
delta[3],0.03071837582875,0.020049614781327826,0.005810580349999999,0.06772429100000002,1.0016772074788818,4711.824203411947
delta[4],0.05295892642925,0.034007014680080605,0.011331270999999997,0.11721032,0.9998860841955763,2434.865270010169
