Model,WAIC_logit,WAIC_probit,PSIS_logit,PSIS_probit,Weight
Model 1.1,415.89885697864395,414.9347439287877,415.910964998722,414.95549070196535,0.41276215637278574
Model 1.2,415.9131114797262,414.9482552710976,415.9263036065224,414.96769061582256,0.409983068849417
Model 1.3,431.6246704399394,416.6253107915165,431.63604018730484,416.64386702455465,0.17725477477779727
